species,hour,n_detections
Black Redstart,8,14
Black Redstart,9,27
Black Redstart,13,1
Black-headed Gull,9,1
Black-headed Gull,11,3
Black-headed Gull,12,1
Black-headed Gull,13,1
Eurasian Jackdaw,10,1
Eurasian Jackdaw,12,1
Eurasian Jackdaw,15,40
Eurasian Magpie,7,3
Eurasian Magpie,15,1
Eurasian Magpie,16,9
Eurasian Magpie,20,3
Eurasian Magpie,23,1
European Robin,3,2
European Robin,4,45
European Robin,5,204
European Robin,6,130
European Robin,7,76
European Robin,8,35
European Robin,9,3
Hawfinch,6,5
Hawfinch,8,1
Long-tailed Tit,10,4
Redwing,0,3
Redwing,2,6
Redwing,3,2
Redwing,5,2
Redwing,6,2
Redwing,8,1
Redwing,11,6
Redwing,12,2
Redwing,13,1
Redwing,16,1
Redwing,18,2
Redwing,19,5
Redwing,20,1
Redwing,21,3
Redwing,22,9
Redwing,23,2
Short-toed Treecreeper,10,4
Tawny Owl,0,3
Tawny Owl,2,1
Tawny Owl,3,1
