species,n_total,n_dawn,dawn_ratio
Black Redstart,3415,578,0.16925329428989752
Eurasian Blue Tit,2279,577,0.2531812198332602
Great Tit,2103,422,0.20066571564431765
European Robin,1718,190,0.11059371362048893
Eurasian Jackdaw,505,246,0.4871287128712871
Eurasian Magpie,354,135,0.3813559322033898
Carrion Crow,251,82,0.32669322709163345
Song Thrush,245,29,0.11836734693877551
Dunnock,216,50,0.23148148148148148
Redwing,194,68,0.35051546391752575
Black-headed Gull,164,16,0.0975609756097561
European Goldfinch,158,27,0.17088607594936708
Common Sandpiper,95,60,0.631578947368421
Short-toed Treecreeper,92,12,0.13043478260869565
Tawny Owl,87,2,0.022988505747126436
Greater White-fronted Goose,85,35,0.4117647058823529
Green Sandpiper,84,36,0.42857142857142855
Coal Tit,67,20,0.29850746268656714
Eurasian Coot,49,5,0.10204081632653061
Goldcrest,48,3,0.0625
Long-tailed Tit,35,5,0.14285714285714285
Eurasian Moorhen,30,0,0
Common Wood-Pigeon,20,20,1
Common Crane,19,3,0.15789473684210525
Gray Wagtail,18,5,0.2777777777777778
Common Chiffchaff,16,2,0.125
European Greenfinch,16,10,0.625
Eurasian Blackbird,15,3,0.2
Eurasian Siskin,15,4,0.26666666666666666
Great Spotted Woodpecker,15,2,0.13333333333333333
Long-eared Owl,13,1,0.07692307692307693
Common Firecrest,12,1,0.08333333333333333
European Stonechat,12,2,0.16666666666666666
Common Chaffinch,11,0,0
Crested Tit,10,1,0.1
Ruddy Turnstone,9,1,0.1111111111111111
Green-winged Teal,8,1,0.125
Ring-necked Pheasant (Ring-necked),8,0,0
White Wagtail,8,1,0.125
Barn Owl,7,1,0.14285714285714285
Common Kingfisher,7,3,0.42857142857142855
Eurasian Wren,7,0,0
Pink-footed Goose,7,2,0.2857142857142857
Reed Bunting,7,0,0
Yellowhammer,7,5,0.7142857142857143
Hawfinch,6,2,0.3333333333333333
Eurasian Kestrel,5,4,0.8
Eurasian Treecreeper,5,1,0.2
Graylag Goose,5,3,0.6
Gray Heron,4,1,0.25
Dunlin,3,0,0
Eurasian Collared-Dove,3,0,0
Eurasian Jay,3,2,0.6666666666666666
European Golden-Plover,3,2,0.6666666666666666
Mallard,3,0,0
Whooper Swan,3,0,0
Black-bellied Plover,2,0,0
Common Buzzard,2,0,0
Eurasian Curlew,2,0,0
Eurasian Green Woodpecker,2,0,0
Eurasian Oystercatcher,2,0,0
Gadwall,2,2,1
Gray Partridge,2,0,0
House Sparrow,2,0,0
Little Owl,2,0,0
Marsh Tit,2,2,1
Water Rail,2,0,0
Barnacle Goose,1,0,0
Common Goldeneye,1,0,0
Common Greenshank,1,0,0
Common Redshank,1,0,0
Common Ringed Plover,1,0,0
Common Scoter,1,0,0
Eurasian Bullfinch,1,0,0
Eurasian Wigeon,1,0,0
Lesser Spotted Woodpecker,1,0,0
Meadow Pipit,1,0,0
Rook,1,0,0
Willow Tit,1,0,0
Wood Lark,1,0,0
Yellow-legged Gull,1,0,0
